City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
599,Ndele,CF,8.4109,20.6473,68.72,95,100,3.24,overcast clouds
600,Sovetskiy,RU,61.3614,63.5842,38.41,78,98,13.56,overcast clouds
601,Nokaneng,BW,-19.6667,22.2667,68.36,13,0,6.51,clear sky
602,Maningrida,AU,-12.0667,134.2667,72.64,81,54,9.46,broken clouds
603,Awjilah,LY,29.1081,21.2869,81.18,28,0,8.48,clear sky
604,Rakitnoye,RU,50.8389,35.8515,52.52,71,100,13.78,moderate rain
605,San Policarpo,PH,12.1791,125.5072,77.97,87,33,2.55,scattered clouds
606,Makakilo City,US,21.3469,-158.0858,82.69,67,99,20.18,overcast clouds
607,Ninghai,CN,29.2892,121.4247,69.4,92,47,0.43,scattered clouds
608,Anzio,IT,41.4853,12.6179,73.85,91,59,2.42,broken clouds
609,Mount Gambier,AU,-37.8333,140.7667,47.48,82,68,16.58,light rain
610,Saint-Augustin,CA,51.226,-58.6502,58.21,68,86,18.32,overcast clouds
611,Sangueya,GN,10.7,-14.3667,75.67,95,24,4.03,few clouds
612,Gaoua,BF,10.2992,-3.2508,76.66,79,89,3.56,overcast clouds
613,Kannod,IN,22.6667,76.7333,72.81,96,92,8.23,overcast clouds
614,Nanakuli,US,21.3906,-158.1547,84.11,70,99,18.3,overcast clouds
615,Santa Marta De Tormes,ES,40.9506,-5.6272,62.17,74,68,10.27,broken clouds
616,Valday,RU,57.9747,33.2525,35.17,91,55,5.06,broken clouds
617,Tefe,BR,-3.3542,-64.7114,74.26,97,81,4.61,broken clouds
618,Whitehorse,CA,60.7161,-135.0538,47.1,55,100,2.37,overcast clouds
619,Nipawin,CA,53.3668,-104.0009,55.36,42,100,4.83,overcast clouds
620,Kaele,CM,10.1092,14.4508,74.77,87,95,7.45,overcast clouds
621,Englehart,CA,47.8169,-79.8664,75.45,54,2,16.78,clear sky
622,Katangli,RU,51.7102,143.2326,57.67,75,44,12.08,scattered clouds
623,Vardo,NO,70.3705,31.1107,44.8,74,99,13.85,overcast clouds
624,Zaragoza,ES,41.6561,-0.8773,71.8,44,47,1.01,scattered clouds
